phenomenon,probe_name,model,dataset_path,layer,seed,split_type,feature_type,accuracy,macro_f1,auroc,ece,control_accuracy,control_macro_f1,selectivity,n_train,n_dev,n_test,config_sha256
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,0,11,random,sentence_mean,1.0,1.0,1.0,,0.4,0.4,0.6,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,0,13,random,sentence_mean,1.0,1.0,1.0,,0.6,0.595959595959596,0.404040404040404,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,0,17,random,sentence_mean,1.0,1.0,1.0,,0.45,0.4373401534526854,0.5626598465473146,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,0,19,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,0,23,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,1,11,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,1,13,random,sentence_mean,1.0,1.0,1.0,,0.6,0.595959595959596,0.404040404040404,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,1,17,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,1,19,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,1,23,random,sentence_mean,1.0,1.0,1.0,,0.4,0.4,0.6,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,2,11,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,2,13,random,sentence_mean,1.0,1.0,1.0,,0.65,0.6491228070175439,0.3508771929824561,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,2,17,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,2,19,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,2,23,random,sentence_mean,1.0,1.0,1.0,,0.4,0.4,0.6,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,3,11,random,sentence_mean,1.0,1.0,1.0,,0.35,0.3483709273182957,0.6516290726817042,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,3,13,random,sentence_mean,1.0,1.0,1.0,,0.65,0.6491228070175439,0.3508771929824561,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,3,17,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,3,19,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,3,23,random,sentence_mean,1.0,1.0,1.0,,0.5,0.4949494949494949,0.5050505050505051,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,4,11,random,sentence_mean,1.0,1.0,1.0,,0.3,0.3,0.7,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,4,13,random,sentence_mean,1.0,1.0,1.0,,0.7,0.696969696969697,0.303030303030303,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,4,17,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,4,19,random,sentence_mean,1.0,1.0,1.0,,0.3,0.27083333333333337,0.7291666666666666,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,4,23,random,sentence_mean,1.0,1.0,1.0,,0.5,0.4949494949494949,0.5050505050505051,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,5,11,random,sentence_mean,1.0,1.0,1.0,,0.4,0.4,0.6,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,5,13,random,sentence_mean,1.0,1.0,1.0,,0.65,0.6419437340153453,0.3580562659846547,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,5,17,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,5,19,random,sentence_mean,1.0,1.0,1.0,,0.25,0.2,0.8,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,5,23,random,sentence_mean,1.0,1.0,1.0,,0.5,0.4949494949494949,0.5050505050505051,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,6,11,random,sentence_mean,1.0,1.0,1.0,,0.4,0.4,0.6,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,6,13,random,sentence_mean,1.0,1.0,1.0,,0.7,0.696969696969697,0.303030303030303,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,6,17,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,6,19,random,sentence_mean,1.0,1.0,1.0,,0.3,0.27083333333333337,0.7291666666666666,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,6,23,random,sentence_mean,1.0,1.0,1.0,,0.55,0.5488721804511278,0.45112781954887216,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,7,11,random,sentence_mean,1.0,1.0,1.0,,0.35,0.3483709273182957,0.6516290726817042,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,7,13,random,sentence_mean,1.0,1.0,1.0,,0.75,0.7442455242966752,0.25575447570332477,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,7,17,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,7,19,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,7,23,random,sentence_mean,1.0,1.0,1.0,,0.55,0.5488721804511278,0.45112781954887216,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,8,11,random,sentence_mean,1.0,1.0,1.0,,0.35,0.3483709273182957,0.6516290726817042,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,8,13,random,sentence_mean,1.0,1.0,1.0,,0.65,0.6266666666666667,0.3733333333333333,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,8,17,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,8,19,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,8,23,random,sentence_mean,1.0,1.0,1.0,,0.55,0.5488721804511278,0.45112781954887216,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,9,11,random,sentence_mean,1.0,1.0,1.0,,0.5,0.5,0.5,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,9,13,random,sentence_mean,1.0,1.0,1.0,,0.7,0.6875,0.3125,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,9,17,random,sentence_mean,1.0,1.0,1.0,,0.35,0.3350383631713555,0.6649616368286445,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,9,19,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,9,23,random,sentence_mean,1.0,1.0,1.0,,0.5,0.4949494949494949,0.5050505050505051,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,10,11,random,sentence_mean,1.0,1.0,1.0,,0.5,0.5,0.5,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,10,13,random,sentence_mean,1.0,1.0,1.0,,0.75,0.7442455242966752,0.25575447570332477,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,10,17,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,10,19,random,sentence_mean,1.0,1.0,1.0,,0.3,0.29292929292929293,0.7070707070707071,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,10,23,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,11,11,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,11,13,random,sentence_mean,1.0,1.0,1.0,,0.7,0.6875,0.3125,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,11,17,random,sentence_mean,1.0,1.0,1.0,,0.5,0.5,0.5,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,11,19,random,sentence_mean,1.0,1.0,1.0,,0.35,0.3483709273182957,0.6516290726817042,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,11,23,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,12,11,random,sentence_mean,1.0,1.0,1.0,,0.6,0.595959595959596,0.404040404040404,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,12,13,random,sentence_mean,1.0,1.0,1.0,,0.65,0.6266666666666667,0.3733333333333333,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,12,17,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,12,19,random,sentence_mean,1.0,1.0,1.0,,0.35,0.3483709273182957,0.6516290726817042,80,0,20,pending
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_pilot_100.jsonl,12,23,random,sentence_mean,1.0,1.0,1.0,,0.55,0.5488721804511278,0.45112781954887216,80,0,20,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,0,11,random,span_vector,1.0,1.0,1.0,,0.4375,0.43316013226263583,0.5668398677373642,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,0,13,random,span_vector,1.0,1.0,1.0,,0.2625,0.26238474761681513,0.7376152523831849,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,0,17,random,span_vector,1.0,1.0,1.0,,0.55,0.5474544311753614,0.4525455688246386,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,0,19,random,span_vector,1.0,1.0,1.0,,0.4625,0.46039215686274515,0.5396078431372549,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,0,23,random,span_vector,1.0,1.0,1.0,,0.425,0.4235588972431078,0.5764411027568922,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,1,11,random,span_vector,1.0,1.0,1.0,,0.5125,0.5124238162212846,0.48757618377871537,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,1,13,random,span_vector,1.0,1.0,1.0,,0.5625,0.5607843137254902,0.4392156862745098,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,1,17,random,span_vector,1.0,1.0,1.0,,0.5125,0.5118134877171022,0.4881865122828978,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,1,19,random,span_vector,1.0,1.0,1.0,,0.5125,0.5124238162212846,0.48757618377871537,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,1,23,random,span_vector,1.0,1.0,1.0,,0.4875,0.48354589828373484,0.5164541017162652,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,2,11,random,span_vector,1.0,1.0,1.0,,0.5375,0.5374277230817315,0.4625722769182685,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,2,13,random,span_vector,1.0,1.0,1.0,,0.575,0.5707070707070707,0.4292929292929293,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,2,17,random,span_vector,1.0,1.0,1.0,,0.6,0.6,0.4,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,2,19,random,span_vector,1.0,1.0,1.0,,0.4875,0.4809305269821174,0.5190694730178826,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,2,23,random,span_vector,1.0,1.0,1.0,,0.5125,0.5105882352941176,0.48941176470588243,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,3,11,random,span_vector,1.0,1.0,1.0,,0.55,0.55,0.44999999999999996,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,3,13,random,span_vector,1.0,1.0,1.0,,0.5,0.4949494949494949,0.5050505050505051,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,3,17,random,span_vector,1.0,1.0,1.0,,0.5125,0.5124238162212846,0.48757618377871537,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,3,19,random,span_vector,1.0,1.0,1.0,,0.5125,0.5031055900621118,0.49689440993788825,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,3,23,random,span_vector,1.0,1.0,1.0,,0.4875,0.48677828195900485,0.5132217180409951,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,4,11,random,span_vector,1.0,1.0,1.0,,0.4875,0.48549019607843136,0.5145098039215686,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,4,13,random,span_vector,1.0,1.0,1.0,,0.525,0.5223130106851037,0.4776869893148963,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,4,17,random,span_vector,1.0,1.0,1.0,,0.55,0.549718574108818,0.45028142589118203,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,4,19,random,span_vector,1.0,1.0,1.0,,0.5625,0.5618838992332968,0.43811610076670315,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,4,23,random,span_vector,1.0,1.0,1.0,,0.525,0.5238095238095238,0.47619047619047616,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,5,11,random,span_vector,1.0,1.0,1.0,,0.5375,0.531571451178984,0.46842854882101603,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,5,13,random,span_vector,1.0,1.0,1.0,,0.4625,0.45561006488368416,0.5443899351163158,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,5,17,random,span_vector,1.0,1.0,1.0,,0.5125,0.5124238162212846,0.48757618377871537,320,0,80,pending
